janela,prob_perda,tempo_ms,pacotes_enviados,retransmissoes,acks_recebidos,throughput_kbs
1,0.0,202,1024,0,1024,5069
1,0.05,62249,1086,62,1024,16
1,0.10,113272,1137,113,1024,9
1,0.20,287542,1311,287,1024,3
2,0.0,199,1024,0,1024,5145
2,0.05,52225,1128,104,1076,19
2,0.10,99244,1222,198,1123,10
2,0.20,298356,1620,596,1322,3
4,0.0,264,1024,0,1024,3878
4,0.05,49210,1220,196,1171,20
4,0.10,122249,1512,488,1390,8
4,0.20,239340,1977,953,1738,4
8,0.0,167,1024,0,1024,6131
8,0.05,56393,1472,448,1416,18
8,0.10,119029,1968,944,1850,8
8,0.20,297529,3368,2344,3066,3
16,0.0,175,1024,0,1024,5851
16,0.05,51641,1840,816,1789,19
16,0.10,131292,3102,2078,2972,7
16,0.20,258180,5093,4069,4837,3
32,0.0,311,1024,0,1024,3292
32,0.05,58665,2856,1832,2798,17
32,0.10,110289,4477,3453,4367,9
32,0.20,251402,8954,7930,8703,4
